site,pv_kwp,battery_kwh,mult,capex,stress,battery_life_yr,cash_day,ch4_kg_per_day,payback
London,1100.0,500.0,0.025,924497.5811490855,1.0582706166973983,9.662583251350698,301.87229962802365,63.072888229378265,13.916666666666696
London,1100.0,500.0,0.05,953995.1622981711,1.0582706166973983,9.662583251350698,299.44784090344126,63.072888229378265,14.83333333333337
London,1100.0,500.0,0.075,983492.7434472565,1.0582706166973983,9.662583251350698,297.0233821788589,63.072888229378265,15.833333333333377
London,1100.0,500.0,0.1,1012990.324596342,1.0582706166973983,9.662583251350698,294.59892345427653,63.072888229378265,16.916666666666696
London,1100.0,500.0,0.125,1042487.9057454276,1.0582706166973983,9.662583251350698,292.17446472969414,63.072888229378265,18.083333333333346
London,1100.0,500.0,0.15,1071985.486894513,1.0582706166973983,9.662583251350698,289.7500060051118,63.072888229378265,20.58333333333331
London,1100.0,500.0,0.175,1101483.0680435987,1.0582706166973983,9.662583251350698,287.3255472805294,63.072888229378265,22.16666666666662
London,1100.0,500.0,0.2,1130980.649192684,1.0582706166973983,9.662583251350698,284.901088555947,63.072888229378265,23.99999999999993
London,1100.0,500.0,0.225,1160478.2303417698,1.0582706166973983,9.662583251350698,282.4766298313647,63.072888229378265,inf
London,1100.0,500.0,0.25,1189975.8114908552,1.0582706166973983,9.662583251350698,280.0521711067823,63.072888229378265,inf
London,1100.0,500.0,0.275,1219473.3926399406,1.0582706166973983,9.662583251350698,277.62771238219995,63.072888229378265,inf
London,1100.0,500.0,0.3,1248970.9737890263,1.0582706166973983,9.662583251350698,275.20325365761755,63.072888229378265,inf
London,1100.0,500.0,0.325,1278468.5549381117,1.0582706166973983,9.662583251350698,272.7787949330352,63.072888229378265,inf
London,1100.0,500.0,0.35,1307966.1360871973,1.0582706166973983,9.662583251350698,270.35433620845276,63.072888229378265,inf
London,1100.0,500.0,0.375,1337463.7172362828,1.0582706166973983,9.662583251350698,267.9298774838704,63.072888229378265,inf
London,1100.0,500.0,0.4,1366961.2983853682,1.0582706166973983,9.662583251350698,265.5054187592881,63.072888229378265,inf
London,1100.0,500.0,0.425,1396458.8795344536,1.0582706166973983,9.662583251350698,263.0809600347057,63.072888229378265,inf
London,1100.0,500.0,0.45,1425956.4606835393,1.0582706166973983,9.662583251350698,260.6565013101233,63.072888229378265,inf
London,1100.0,500.0,0.475,1455454.041832625,1.0582706166973983,9.662583251350698,258.23204258554097,63.072888229378265,inf
London,1100.0,500.0,0.5,1484951.6229817104,1.0582706166973983,9.662583251350698,255.80758386095857,63.072888229378265,inf
London,1100.0,500.0,0.525,1514449.2041307958,1.0582706166973983,9.662583251350698,253.38312513637624,63.072888229378265,inf
London,1100.0,500.0,0.55,1543946.7852798812,1.0582706166973983,9.662583251350698,250.95866641179384,63.072888229378265,inf
London,1100.0,500.0,0.575,1573444.3664289669,1.0582706166973983,9.662583251350698,248.53420768721148,63.072888229378265,inf
London,1100.0,500.0,0.6,1602941.9475780525,1.0582706166973983,9.662583251350698,246.1097489626291,63.072888229378265,inf
London,1100.0,500.0,0.625,1632439.528727138,1.0582706166973983,9.662583251350698,243.68529023804672,63.072888229378265,inf
